pair,strategy,span,ann_return,ann_vol,sharpe,max_dd,win_rate,n_trades,avg_hold_days,exposure
BTC,conv,2021-01-01..2026-06-14,0.07394763019164996,0.014690460360661451,5.033717689996231,-0.06023812474006196,0.8253467843631778,64,24.78125,0.7965846308387745
BTC,galaxy,2021-01-01..2026-06-14,0.016107331253021107,0.008148439090208431,1.9767382531430437,-0.03219713945036329,0.8617511520737328,36,12.055555555555555,0.2179809141135108
BTC,orient,2021-01-01..2026-06-14,0.01185596076828399,0.007861332187101801,1.5081363420485185,-0.02183031679716252,0.8338557993730408,31,10.290322580645162,0.16022099447513813
ETH,conv,2021-01-01..2026-06-14,0.08908824080293165,0.017181377383988016,5.185162912838199,-0.06381359017381216,0.8222365869424693,58,26.67241379310345,0.7769964841788046
ETH,galaxy,2021-01-01..2026-06-14,0.018087456066625984,0.008376064841371645,2.159421686576154,-0.028859517213919328,0.8547215496368039,34,12.147058823529411,0.2074334505273732
ETH,orient,2021-01-01..2026-06-14,0.013104364327508167,0.008347692919508832,1.5698186856973184,-0.021728056433837573,0.8171091445427728,34,9.970588235294118,0.1702661978905073
BNB,conv,2021-01-01..2026-06-14,0.04986977639550427,0.017544568166314885,2.8424624603330475,-0.02041203765672417,0.6748201438848921,30,23.166666666666668,0.34907081868407835
BNB,galaxy,2021-01-01..2026-06-14,0.012329553671426075,0.01136806207070768,1.0845783208024427,-0.03077311319817444,0.6775147928994083,29,11.655172413793103,0.16976393771973883
BNB,orient,2021-01-01..2026-06-14,0.010185442341150264,0.011658502936508554,0.8736492495322528,-0.03174910335605208,0.7066666666666667,28,5.357142857142857,0.07533902561526871
COMPOSITE,conv,,0.07089482845723194,0.013530305044654975,5.239706586307771,-0.039464416980616646,0.7454344216934145,30,60.233333333333334,0.9075841285786037
